地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片繁榮地區(申),35747,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片繁榮地區(查),6242,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片偏僻地區(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片偏僻地區(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片郊區C(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),本國片郊區C(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片繁榮地區(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片繁榮地區(查)),8430,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片偏僻地區(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片偏僻地區(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片郊區F(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),外國片郊區F(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),國洋片混片G(申),266659,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),國洋片混片G(查),278,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其他H(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),其他H(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),歌廳1(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),歌廳1(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),撞球場2(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),撞球場2(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),保齡球館3(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),保齡球館3(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),球場A(申),2135343,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),球場A(查),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),練習場B(申),5225,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),練習場B(查),102982,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),舞廳A(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),舞廳A(查),298839,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,娛樂稅稅源-實徵稅額(單位:元),舞場B(申),,2020-10-01T00:00:00,月,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
